iter	RMSE
0	31314.52283
1	29633.08344
2	27491.82742
3	25993.13794
4	24733.5744
5	23116.61651
6	22305.96451
7	21343.57333
8	20191.70053
9	19419.18492
10	18991.69164
11	18345.58819
12	17807.61104
13	17383.04033
14	16972.02865
15	16633.64551
16	16000.30055
17	15426.01677
18	14679.29191
19	14333.43747
20	13685.04607
21	13184.36239
22	12842.29214
23	12273.0534
24	12019.16338
25	11512.45263
26	11145.91981
27	10727.97037
28	10480.20683
29	10112.7239
30	9794.917174
31	9571.303213
32	9240.879226
33	9096.94552
34	8837.505751
35	8656.477162
36	8386.103306
37	8223.830182
38	8039.301941
39	7794.162893
40	7646.599747
41	7501.673288
42	7236.095587
43	7003.035973
44	6905.054635
45	6684.163408
46	6492.811802
47	6395.449859
48	6317.199796
49	6113.573278
50	6054.139451
51	5888.316105
52	5776.068205
53	5620.390609
54	5406.671362
55	5299.791519
56	5141.118824
57	4994.066178
58	4841.245967
59	4696.478734
60	4660.1612
61	4511.194691
62	4440.258916
63	4390.090286
64	4337.137288
65	4187.897147
66	4082.237035
67	4003.508134
68	3880.675315
69	3807.314066
70	3689.110208
71	3600.412669
72	3517.294637
73	3464.346467
74	3364.404151
75	3326.68059
76	3271.979905
77	3187.803622
78	3109.162383
79	3006.491495
80	2959.952576
81	2858.230318
82	2778.677854
83	2707.540191
84	2648.454451
85	2613.88611
86	2560.644173
87	2480.16094
88	2433.125557
89	2372.829099
90	2325.866676
91	2258.440117
92	2216.851993
93	2159.866876
94	2123.215466
95	2076.892896
96	2048.814907
97	2005.058861
98	1962.303083
99	1942.957731
