iter	Passed	Remaining
0	1	196
1	3	177
2	5	167
3	6	161
4	8	164
5	10	166
6	12	161
7	13	160
8	15	160
9	17	156
10	18	153
11	20	152
12	22	151
13	24	148
14	25	146
15	27	144
16	29	141
17	30	139
18	32	137
19	33	135
20	35	133
21	37	133
22	39	132
23	41	129
24	42	128
25	44	126
26	46	125
27	48	124
28	50	122
29	51	120
30	53	118
31	55	117
32	56	115
33	58	113
34	60	112
35	62	110
36	63	108
37	65	107
38	67	105
39	69	103
40	70	101
41	72	100
42	74	98
43	75	96
44	77	94
45	79	92
46	80	91
47	82	89
48	84	87
49	86	86
50	87	84
51	89	82
52	91	81
53	93	79
54	94	77
55	96	75
56	98	74
57	99	72
58	101	70
59	103	69
60	105	67
61	107	65
62	108	63
63	110	62
64	112	60
65	113	58
66	115	57
67	117	55
68	119	53
69	120	51
70	122	50
71	124	48
72	126	46
73	127	44
74	129	43
75	131	41
76	133	39
77	134	37
78	136	36
79	138	34
80	139	32
81	141	31
82	143	29
83	144	27
84	146	25
85	148	24
86	150	22
87	151	20
88	153	18
89	155	17
90	157	15
91	158	13
92	160	12
93	161	10
94	163	8
95	165	6
96	167	5
97	168	3
98	170	1
99	172	0
