iter	Passed	Remaining
0	137	13627
1	139	6826
2	140	4556
3	142	3422
4	144	2740
5	145	2283
6	147	1956
7	149	1713
8	150	1522
9	151	1367
10	153	1240
11	154	1134
12	156	1045
13	157	968
14	159	901
15	160	842
16	162	791
17	163	746
18	165	705
19	166	667
20	168	634
21	170	604
22	172	575
23	173	549
24	175	525
25	176	503
26	178	483
27	180	463
28	182	445
29	183	428
30	185	412
31	187	397
32	188	383
33	190	369
34	191	356
35	193	344
36	195	332
37	197	321
38	198	310
39	200	300
40	202	290
41	203	281
42	205	272
43	206	263
44	208	254
45	209	246
46	211	238
47	212	230
48	214	222
49	216	216
50	217	208
51	218	202
52	220	195
53	222	189
54	224	183
55	225	177
56	227	171
57	228	165
58	230	160
59	231	154
60	233	149
61	234	143
62	236	138
63	237	133
64	239	128
65	241	124
66	242	119
67	244	114
68	245	110
69	247	105
70	248	101
71	249	97
72	250	92
73	252	88
74	254	84
75	255	80
76	257	76
77	258	72
78	259	69
79	261	65
80	262	61
81	264	58
82	265	54
83	267	51
84	269	47
85	271	44
86	272	40
87	274	37
88	276	34
89	277	30
90	279	27
91	281	24
92	283	21
93	284	18
94	285	15
95	298	12
96	300	9
97	301	6
98	303	3
99	304	0
