Kecamatan,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Hadap,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Alamat,Tipe Iklan,Aksesibilitas,NJOP_Rp_per_m2,Tingkat_Keamanan
Wonokromo,3,2,45,70,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,2.0,Barat,Tidak,,,Tidak,Baru,"Jl. Wonokromo Raya No.103, Surabaya (-7.356339, 112.797617)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,3,2,48,2023,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.180, Surabaya (-7.389061, 112.687684)",Keduanya,Baik,1032000.0,Tinggi
Semampir,3,3,48,85,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,3.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Semampir Raya No.93, Surabaya (-7.396466, 112.613251)",Keduanya,Baik,1274000.0,Rendah
Pakal,2,1,50,91,HGB - Hak Guna Bangunan,1300.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,Sumur Pompa,Ya,Baru,"Jl. Pakal Raya No.15, Surabaya (-7.379446, 112.791401)",Disewa,Buruk,1032000.0,Rendah
Gayungan,2,2,51,50,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,,,Tidak,,PAM atau PDAM,Tidak,Baru,"Jl. Gayungan Raya No.107, Surabaya (-7.365561, 112.758612)",Disewa,Baik,1032000.0,Tinggi
Rungkut,2,1,60,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,"Jl. Rungkut Raya No.72, Surabaya (-7.313803, 112.679662)",Dijual,Baik,1032000.0,Tinggi
Tambaksari,3,2,60,120,"Lainnya (PPJB,Girik,Adat,dll)",1300.0,Ya,Ya,Unfurnished,2.0,,Ya,4 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Tambaksari Raya No.189, Surabaya (-7.297896, 112.796479)",Disewa,Baik,1032000.0,Tinggi
Benowo,3,1,64,100,SHM - Sertifikat Hak Milik,,,Tidak,Unfurnished,1.0,Selatan,Tidak,,,Tidak,Baru,"Jl. Benowo Raya No.21, Surabaya (-7.371882, 112.669107)",Dijual,Baik,1000000.0,Tinggi
Sambikerep,2,1,65,65,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Sambikerep Raya No.103, Surabaya (-7.315043, 112.674424)",Disewa,Baik,1000000.0,Rendah
Wonokromo,2,1,67,67,SHM - Sertifikat Hak Milik,900.0,Ya,Ya,Unfurnished,2.0,Barat,Ya,1 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Wonokromo Raya No.122, Surabaya (-7.33165, 112.721946)",Dijual,Baik,1032000.0,Rendah
Benowo,3,2,72,60,SHM - Sertifikat Hak Milik,1300.0,,Tidak,Unfurnished,2.0,Barat,Ya,2 Mobil,,Tidak,Bagus,"Jl. Benowo Raya No.75, Surabaya (-7.363315, 112.654869)",Disewa,Buruk,1000000.0,Tinggi
Benowo,2,1,72,72,HGB - Hak Guna Bangunan,2200.0,,,Unfurnished,2.0,Selatan,,,,,Baru,"Jl. Benowo Raya No.88, Surabaya (-7.398632, 112.739714)",Keduanya,Baik,1000000.0,Tinggi
Rungkut,1,2,72,72,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.117, Surabaya (-7.306596, 112.63057)",Dijual,Baik,1032000.0,Tinggi
Rungkut,2,1,72,60,HGB - Hak Guna Bangunan,1300.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,2 Mobil,PAM atau PDAM,Tidak,,"Jl. Rungkut Raya No.100, Surabaya (-7.26287, 112.621605)",Disewa,Baik,1032000.0,Tinggi
Rungkut,1,2,72,72,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,1 Mobil,PAM atau PDAM,Tidak,,"Jl. Rungkut Raya No.104, Surabaya (-7.354745, 112.706976)",Disewa,Baik,1032000.0,Tinggi
