Nama_Aset,Lokasi,Luas_m2,Sertifikat,Lokasi_Pasti,Kondisi,Tipe_Iklan,NJOP_Rp_per_m2,Jumlah_Penduduk,Aksesibilitas
Gubeng,"Jl. Tubagus Ismail, Gubeng, Surabaya",1742,Belum Bersertifikat,"Jl. Tubagus Ismail, Gubeng, Surabaya (-7.312546, 112.772027)",Second,Disewa,1147000.0,123961.0,Baik
Sawahan,"Jl. Siliwangi, Sawahan, Surabaya",1123,Girik,"Jl. Siliwangi, Sawahan, Surabaya (-7.254929, 112.768728)",Second,Disewa/Dijual,1032000.0,188693.0,Buruk
Asemrowo,"Gg. Rajawali Barat, Asemrowo, Surabaya",703,Girik,"Gg. Rajawali Barat, Asemrowo, Surabaya (-7.276801, 112.709575)",Second,Disewa/Dijual,916000.0,45547.0,Baik
Karang Pilang,"Jalan Veteran, Karang Pilang, Surabaya",1479,SHM,"Jalan Veteran, Karang Pilang, Surabaya (-7.290134, 112.792257)",Second,Disewa/Dijual,862000.0,,Baik
Sawahan,"Gg. H.J Maemunah, Sawahan, Surabaya",1612,SHM,"Gg. H.J Maemunah, Sawahan, Surabaya (-7.334398, 112.756847)",Second,Dijual,1032000.0,188693.0,Baik
Wonokromo,"Gg. Pacuan Kuda, Wonokromo, Surabaya",798,Girik,"Gg. Pacuan Kuda, Wonokromo, Surabaya (-7.334401, 112.736373)",Second,Dijual,,144650.0,Baik
Krembangan,"Jl. Medokan Ayu, Krembangan, Surabaya",1925,HGB,"Jl. Medokan Ayu, Krembangan, Surabaya (-7.344192, 112.775654)",Second,Disewa,,109027.0,Baik
Genteng,"Gang Ciumbuleuit, Genteng, Surabaya",750,Belum Bersertifikat,"Gang Ciumbuleuit, Genteng, Surabaya (-7.263382, 112.725737)",Second,Disewa/Dijual,,52924.0,Buruk
Sawahan,"Gang Rawamangun, Sawahan, Surabaya",1046,HGB,"Gang Rawamangun, Sawahan, Surabaya (-7.289888, 112.769351)",Second,Disewa,1032000.0,188693.0,Baik
Simokerto,"Jl. Kiaracondong, Simokerto, Surabaya",1163,HGB,"Jl. Kiaracondong, Simokerto, Surabaya (-7.279193, 112.703971)",Second,Disewa/Dijual,,86897.0,Baik
Krembangan,"Jl. Peta, Krembangan, Surabaya",1334,Belum Bersertifikat,"Jl. Peta, Krembangan, Surabaya (-7.347942, 112.783941)",Second,Dijual,,109027.0,Baik
Simokerto,"Gg. Tebet Barat Dalam, Simokerto, Surabaya",1558,HGB,"Gg. Tebet Barat Dalam, Simokerto, Surabaya (-7.253009, 112.744817)",Second,Disewa/Dijual,,86897.0,Buruk
Krembangan,"Gg. Kebonjati, Krembangan, Surabaya",1777,Girik,"Gg. Kebonjati, Krembangan, Surabaya (-7.266756, 112.763669)",Second,Disewa/Dijual,,109027.0,Buruk
Karang Pilang,"Gg. Astana Anyar, Karang Pilang, Surabaya",1373,SHM,"Gg. Astana Anyar, Karang Pilang, Surabaya (-7.328766, 112.722124)",Second,Disewa/Dijual,862000.0,,Baik
Asemrowo,"Gang Soekarno Hatta, Asemrowo, Surabaya",1719,Belum Bersertifikat,"Gang Soekarno Hatta, Asemrowo, Surabaya (-7.331818, 112.767707)",Second,Dijual,916000.0,45547.0,Baik
Pabean Cantikan,"Jl. Astana Anyar, Pabean Cantikan, Surabaya",1073,SHM,"Jl. Astana Anyar, Pabean Cantikan, Surabaya (-7.331660, 112.777224)",Second,Dijual,,,Baik
Sambikerep,"Gg. PHH. Mustofa, Sambikerep, Surabaya",1006,SHM,"Gg. PHH. Mustofa, Sambikerep, Surabaya (-7.319576, 112.747321)",Second,Dijual,,63778.0,Baik
Bulak,"Gang Suniaraja, Bulak, Surabaya",711,Girik,"Gang Suniaraja, Bulak, Surabaya (-7.297524, 112.761773)",Second,Disewa,,43764.0,Baik
Semampir,"Gg. H.J Maemunah, Semampir, Surabaya",1327,SHM,"Gg. H.J Maemunah, Semampir, Surabaya (-7.306805, 112.745633)",Second,Disewa/Dijual,,172669.0,Baik
Pakal,"Jl. K.H. Wahid Hasyim, Pakal, Surabaya",1703,Girik,"Jl. K.H. Wahid Hasyim, Pakal, Surabaya (-7.320877, 112.789409)",Second,Dijual,,59971.0,Baik
Lakarsantri,"Gg. R.E Martadinata, Lakarsantri, Surabaya",1784,Belum Bersertifikat,"Gg. R.E Martadinata, Lakarsantri, Surabaya (-7.288815, 112.749787)",Second,Disewa,,59256.0,Baik
Karang Pilang,"Gang Ahmad Dahlan, Karang Pilang, Surabaya",729,HGB,"Gang Ahmad Dahlan, Karang Pilang, Surabaya (-7.336051, 112.784181)",Second,Dijual,862000.0,,Baik
Kenjeran,"Gg. Sadang Serang, Kenjeran, Surabaya",844,SHM,"Gg. Sadang Serang, Kenjeran, Surabaya (-7.320786, 112.780135)",Second,Disewa/Dijual,,181325.0,Baik
Bulak,"Gang Kebonjati, Bulak, Surabaya",1693,SHM,"Gang Kebonjati, Bulak, Surabaya (-7.313364, 112.741050)",Second,Disewa,,43764.0,Baik
Tegalsari,"Gg. S. Parman, Tegalsari, Surabaya",1227,HGB,"Gg. S. Parman, Tegalsari, Surabaya (-7.304393, 112.723008)",Second,Dijual,,92014.0,Baik
Sawahan,"Jalan Cikapayang, Sawahan, Surabaya",712,SHM,"Jalan Cikapayang, Sawahan, Surabaya (-7.271482, 112.740608)",Second,Dijual,1032000.0,188693.0,Baik
Bulak,"Jl. Cikapayang, Bulak, Surabaya",878,HGB,"Jl. Cikapayang, Bulak, Surabaya (-7.330033, 112.782622)",Second,Disewa,,43764.0,Baik
Simokerto,"Gang S. Parman, Simokerto, Surabaya",1116,HGB,"Gang S. Parman, Simokerto, Surabaya (-7.298577, 112.722763)",Second,Disewa,,86897.0,Baik
Simokerto,"Jalan H.J Maemunah, Simokerto, Surabaya",1743,Girik,"Jalan H.J Maemunah, Simokerto, Surabaya (-7.290759, 112.752444)",Second,Disewa,,86897.0,Baik
Pakal,"Gang Pasteur, Pakal, Surabaya",711,Belum Bersertifikat,"Gang Pasteur, Pakal, Surabaya (-7.345355, 112.780610)",Second,Disewa,,59971.0,Baik
Gubeng,"Jalan Joyoboyo, Gubeng, Surabaya",1615,Belum Bersertifikat,"Jalan Joyoboyo, Gubeng, Surabaya (-7.289246, 112.735348)",Second,Disewa,1147000.0,123961.0,Baik
Benowo,"Jalan Dr. Djunjunan, Benowo, Surabaya",1148,Belum Bersertifikat,"Jalan Dr. Djunjunan, Benowo, Surabaya (-7.332948, 112.764221)",Second,Dijual,,69938.0,Baik
Semampir,"Jl. Kiaracondong, Semampir, Surabaya",1952,SHM,"Jl. Kiaracondong, Semampir, Surabaya (-7.343495, 112.724563)",Second,Disewa,,172669.0,Baik
Genteng,"Jalan Kapten Muslihat, Genteng, Surabaya",969,SHM,"Jalan Kapten Muslihat, Genteng, Surabaya (-7.255111, 112.710928)",Second,Disewa,,52924.0,Buruk
Rungkut,"Gang Jend. Sudirman, Rungkut, Surabaya",1092,HGB,"Gang Jend. Sudirman, Rungkut, Surabaya (-7.253437, 112.779438)",Second,Disewa/Dijual,,123757.0,Buruk
Krembangan,"Jl. Ahmad Yani, Krembangan, Surabaya",1692,HGB,"Jl. Ahmad Yani, Krembangan, Surabaya (-7.269160, 112.709897)",Second,Dijual,,109027.0,Buruk
Rungkut,"Gg. Otto Iskandardinata, Rungkut, Surabaya",963,Girik,"Gg. Otto Iskandardinata, Rungkut, Surabaya (-7.319539, 112.727138)",Second,Disewa/Dijual,,123757.0,Baik
Bulak,"Jl. Gegerkalong Hilir, Bulak, Surabaya",1755,SHM,"Jl. Gegerkalong Hilir, Bulak, Surabaya (-7.340233, 112.785511)",Second,Dijual,,43764.0,Baik
